Date;Time;Type;Information;Group;Code;Status;Class;Cause;Consequence;Action;Parameters

17-05-02;10:05:33;alarm;"Link up at device 172.23.7.251";Snmp;311;Pulse;D;"Node connected to device 172.23.7.251 located in Armadio308";"New device present in network";"No action required";"identity=20402434 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493719533 | microsecond=464620 | nbr_parameters=10 | os_date=2017:05:02 | os_time=16:00:48 | sys_up_time=138:11:17:09.80 | ip_address=172.23.7.251 | mac_address=00:07:7C:8F:B2:8E | location=Armadio308 | trap_oid=ONTIMENET-LYNX-MIB::linkUpChangeWarning | nbr_trap_parameters=1 | trap_parameters= linkUpChangeWarning = 1 "
17-05-02;10:05:22;alarm;"Link down at device 172.23.7.251 located in Armadio308";Snmp;310;Pulse;B;"Network problem or node shutdown";"No network connection to a node";"Identify the node";"identity=20402433 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493719522 | microsecond=813818 | nbr_parameters=10 | os_date=2017:05:02 | os_time=16:00:37 | sys_up_time=138:11:16:59.15 | ip_address=172.23.7.251 | mac_address=00:07:7C:8F:B2:8E | location=Armadio308 | trap_oid=ONTIMENET-LYNX-MIB::linkDownChangeWarning | nbr_trap_parameters=1 | trap_parameters= linkDownChangeWarning = 1 "
17-05-02;10:05:19;alarm;"Net spu-trans-secondary is up for 00:11:bd:02:26:8c";Yard;303;Pulse;D;"A previously malfunctioning network could now be used to communicate with one YCU";"The network spu-trans-secondary is now used";"No action required";"identity=20402432 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493719519 | microsecond=109142 | nbr_parameters=2"
17-05-02;10:05:19;alarm;"Net spu-trans is up for 00:11:bd:02:26:8c";Yard;303;Pulse;D;"A previously malfunctioning network could now be used to communicate with one YCU";"The network spu-trans is now used";"No action required";"identity=20402431 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493719519 | microsecond=109093 | nbr_parameters=2"
17-05-02;10:05:18;alarm;"Lost redundant YCU KC194. MAC address:00:11:bd:02:17:01";Yard;206;Pulse;B;"Data for one redundant YCU is missing. The YCU is out of order or network problem";"Reduced YCU redundancy";"Check the YCU and the yard transmission network";"identity=20402430 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493719518 | microsecond=827506 | nbr_parameters=2"
17-05-02;10:05:18;alarm;"YCU informational message";Yard;202;Pulse;D;"Configuration no longer valid for YCU instance 00:11:bd:02:17:01, The YCU is probably replaced";"None";"No action required";"identity=20402429 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493719518 | microsecond=827456 | nbr_parameters=1"
17-05-02;10:05:12;alarm;"Link up at device 172.23.6.253";Snmp;311;Pulse;D;"Node connected to device 172.23.6.253 located in Armadio306";"New device present in network";"No action required";"identity=20402428 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493719512 | microsecond=625356 | nbr_parameters=10 | os_date=2017:05:02 | os_time=16:00:27 | sys_up_time=138:11:17:05.01 | ip_address=172.23.6.253 | mac_address=00:07:7C:8F:B2:9A | location=Armadio306 | trap_oid=ONTIMENET-LYNX-MIB::linkUpChangeWarning | nbr_trap_parameters=1 | trap_parameters= linkUpChangeWarning = 1 "
17-05-02;10:03:38;alarm;"Link down at device 172.23.6.253 located in Armadio306";Snmp;310;Pulse;B;"Network problem or node shutdown";"No network connection to a node";"Identify the node";"identity=20402427 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493719418 | microsecond=759458 | nbr_parameters=10 | os_date=2017:05:02 | os_time=15:58:53 | sys_up_time=138:11:15:31.22 | ip_address=172.23.6.253 | mac_address=00:07:7C:8F:B2:9A | location=Armadio306 | trap_oid=ONTIMENET-LYNX-MIB::linkDownChangeWarning | nbr_trap_parameters=1 | trap_parameters= linkDownChangeWarning = 1 "
17-05-01;17:59:44;alarm;"Net spu-trans is up for 00:11:bd:02:17:2d";Yard;303;Pulse;D;"A previously malfunctioning network could now be used to communicate with one YCU";"The network spu-trans is now used";"No action required";"identity=20402426 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493661584 | microsecond=371790 | nbr_parameters=2"
17-05-01;17:59:42;alarm;"Unknown YCUs has been detected (see yard view for details)";Yard;1002;Pulse;B;"The system receives data from an unknown YCU";"The unknown YCU will not be used";"Check the site data and the yard transmission network for unknown YCUs";"identity=20402425 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493661582 | microsecond=260946 | nbr_parameters=5 | ycu=MAC: 00:11:bd:02:17:2d Primary net:  Primary net status: down Secondary net:  Secondary net status: down"
17-05-01;17:59:42;alarm;"Communication error detected in cabinet: ""Armadio306"" (see yard view for details)";Yard;1001;Pulse;A;"Network problem or defect equipment";"Possible loss of object controllers";"Check equipment and cables";"identity=20402424 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493661582 | microsecond=260651 | nbr_parameters=8 | cabinet=Armadio306 | ycu=KC194 -Redundant: yes -Primary net:  -Primary net status: down -Secondary net:  -Secondary net status: down -MAC: "
17-05-01;17:59:40;alarm;"Net spu-trans-secondary is up for 00:11:bd:02:17:2d";Yard;303;Pulse;D;"A previously malfunctioning network could now be used to communicate with one YCU";"The network spu-trans-secondary is now used";"No action required";"identity=20402423 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493661580 | microsecond=370385 | nbr_parameters=2"
17-05-01;17:59:40;alarm;"YCU informational message";Yard;202;Pulse;D;"Configuration no longer valid for YCU instance 00:11:bd:02:17:2d, The YCU is probably replaced";"None";"No action required";"identity=20402422 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493661580 | microsecond=30265 | nbr_parameters=1"
17-05-01;17:59:40;alarm;"No matching configuration for YCU 00:11:bd:02:17:2d";Yard;210;Pulse;B;"One YCU is sending data which does not correspond to site data";"This YCU is not disregarded";"Check the site data and the object controller addresses connected to the YCU";"identity=20402421 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493661580 | microsecond=30214 | nbr_parameters=1"
17-05-01;17:59:34;alarm;"Link up at device 172.23.7.251";Snmp;311;Pulse;D;"Node connected to device 172.23.7.251 located in Armadio308";"New device present in network";"No action required";"identity=20402420 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493661574 | microsecond=406492 | nbr_parameters=10 | os_date=2017:05:01 | os_time=23:54:28 | sys_up_time=137:19:11:32.63 | ip_address=172.23.7.251 | mac_address=00:07:7C:8F:B2:8E | location=Armadio308 | trap_oid=ONTIMENET-LYNX-MIB::linkUpChangeWarning | nbr_trap_parameters=1 | trap_parameters= linkUpChangeWarning = 1 "
17-05-01;17:59:33;alarm;"Link up at device 172.23.6.253";Snmp;311;Pulse;D;"Node connected to device 172.23.6.253 located in Armadio306";"New device present in network";"No action required";"identity=20402419 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493661573 | microsecond=225617 | nbr_parameters=10 | os_date=2017:05:01 | os_time=23:54:27 | sys_up_time=137:19:11:47.42 | ip_address=172.23.6.253 | mac_address=00:07:7C:8F:B2:9A | location=Armadio306 | trap_oid=ONTIMENET-LYNX-MIB::linkUpChangeWarning | nbr_trap_parameters=1 | trap_parameters= linkUpChangeWarning = 1 "
17-05-01;17:59:32;alarm;"Communication error detected in cabinet: ""Armadio306"" (see yard view for details)";Yard;1001;Pulse;A;"Network problem or defect equipment";"Possible loss of object controllers";"Check equipment and cables";"identity=20402418 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493661572 | microsecond=259165 | nbr_parameters=8 | cabinet=Armadio306 | ycu=KC194 -Redundant: yes -Primary net:  -Primary net status: down -Secondary net:  -Secondary net status: down -MAC: "
17-05-01;17:59:24;alarm;"Net spu-trans-secondary is up for 00:11:bd:02:17:2d";Yard;303;Pulse;D;"A previously malfunctioning network could now be used to communicate with one YCU";"The network spu-trans-secondary is now used";"No action required";"identity=20402417 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493661564 | microsecond=364813 | nbr_parameters=2"
17-05-01;17:59:23;alarm;"Link down at device 172.23.7.251 located in Armadio308";Snmp;310;Pulse;B;"Network problem or node shutdown";"No network connection to a node";"Identify the node";"identity=20402416 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493661563 | microsecond=774688 | nbr_parameters=10 | os_date=2017:05:01 | os_time=23:54:17 | sys_up_time=137:19:11:22.01 | ip_address=172.23.7.251 | mac_address=00:07:7C:8F:B2:8E | location=Armadio308 | trap_oid=ONTIMENET-LYNX-MIB::linkDownChangeWarning | nbr_trap_parameters=1 | trap_parameters= linkDownChangeWarning = 1 "
17-05-01;17:59:22;alarm;"Lost redundant YCU KC194. MAC address:00:11:bd:02:17:2d";Yard;206;Pulse;B;"Data for one redundant YCU is missing. The YCU is out of order or network problem";"Reduced YCU redundancy";"Check the YCU and the yard transmission network";"identity=20402415 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493661562 | microsecond=926569 | nbr_parameters=2"
17-05-01;17:59:22;alarm;"YCU informational message";Yard;202;Pulse;D;"Configuration no longer valid for YCU instance 00:11:bd:02:17:2d, The YCU is probably replaced";"None";"No action required";"identity=20402414 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493661562 | microsecond=926518 | nbr_parameters=1"
17-05-01;17:59:22;alarm;"No matching configuration for YCU 00:11:bd:02:17:2d";Yard;210;Pulse;B;"One YCU is sending data which does not correspond to site data";"This YCU is not disregarded";"Check the site data and the object controller addresses connected to the YCU";"identity=20402413 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493661562 | microsecond=926468 | nbr_parameters=1"
17-05-01;17:59:22;alarm;"Link down at device 172.23.6.253 located in Armadio306";Snmp;310;Pulse;B;"Network problem or node shutdown";"No network connection to a node";"Identify the node";"identity=20402412 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493661562 | microsecond=570778 | nbr_parameters=10 | os_date=2017:05:01 | os_time=23:54:16 | sys_up_time=137:19:11:36.77 | ip_address=172.23.6.253 | mac_address=00:07:7C:8F:B2:9A | location=Armadio306 | trap_oid=ONTIMENET-LYNX-MIB::linkDownChangeWarning | nbr_trap_parameters=1 | trap_parameters= linkDownChangeWarning = 1 "
17-04-30;17:25:24;alarm;"No info available (since no template found)";Snmp;0;Pulse;A;"The alarm code is unknown to the interlocking system";"The alarm information cant be translated to a understandable text message";"Contact the supplier of the interlocking system";"identity=20402411 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493573124 | microsecond=946159 | nbr_parameters=9 | os_date=2017:04:30 | os_time=23:19:47 | sys_up_time=136:18:50:59.37 | ip_address=172.23.7.122 | mac_address=00:07:7C:91:7E:A0 | location= | trap_oid=ONTIMENET-LYNX-MIB::statNoWarning | nbr_trap_parameters=0 | trap_parameters=  "
17-04-30;17:25:22;alarm;"No info available (since no template found)";Snmp;0;Pulse;A;"The alarm code is unknown to the interlocking system";"The alarm information cant be translated to a understandable text message";"Contact the supplier of the interlocking system";"identity=20402410 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493573122 | microsecond=747059 | nbr_parameters=9 | os_date=2017:04:30 | os_time=23:19:45 | sys_up_time=174:2:21:10.11 | ip_address=172.23.5.126 | mac_address=00:07:7C:91:7E:FE | location=Armadio119 | trap_oid=ONTIMENET-LYNX-MIB::statNoWarning | nbr_trap_parameters=0 | trap_parameters=  "
17-04-30;17:25:22;alarm;"Link up at device 172.23.5.126";Snmp;311;Pulse;D;"Node connected to device 172.23.5.126 located in Armadio119";"New device present in network";"No action required";"identity=20402409 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493573122 | microsecond=739840 | nbr_parameters=10 | os_date=2017:04:30 | os_time=23:19:45 | sys_up_time=174:2:21:10.10 | ip_address=172.23.5.126 | mac_address=00:07:7C:91:7E:FE | location=Armadio119 | trap_oid=ONTIMENET-LYNX-MIB::linkUpChangeWarning | nbr_trap_parameters=1 | trap_parameters= linkUpChangeWarning = 8 "
17-04-30;17:25:22;alarm;"Link up at device 172.23.6.251";Snmp;311;Pulse;D;"Node connected to device 172.23.6.251 located in Armadio303";"New device present in network";"No action required";"identity=20402408 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493573122 | microsecond=435706 | nbr_parameters=10 | os_date=2017:04:30 | os_time=23:19:45 | sys_up_time=136:18:39:20.56 | ip_address=172.23.6.251 | mac_address=00:07:7C:8F:B1:6C | location=Armadio303 | trap_oid=ONTIMENET-LYNX-MIB::linkUpChangeWarning | nbr_trap_parameters=1 | trap_parameters= linkUpChangeWarning = 7 "
17-04-30;17:25:22;alarm;"Link down at device 172.23.7.122  ";Snmp;310;Pulse;B;"Network problem or node shutdown";"No network connection to a node";"Identify the node";"identity=20402407 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493573122 | microsecond=347875 | nbr_parameters=10 | os_date=2017:04:30 | os_time=23:19:45 | sys_up_time=136:18:50:56.80 | ip_address=172.23.7.122 | mac_address=00:07:7C:91:7E:A0 | location= | trap_oid=ONTIMENET-LYNX-MIB::linkDownChangeWarning | nbr_trap_parameters=1 | trap_parameters= linkDownChangeWarning = 7 "
17-04-30;17:25:19;alarm;"No info available (since no template found)";Snmp;0;Pulse;A;"The alarm code is unknown to the interlocking system";"The alarm information cant be translated to a understandable text message";"Contact the supplier of the interlocking system";"identity=20402406 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493573119 | microsecond=974675 | nbr_parameters=9 | os_date=2017:04:30 | os_time=23:19:42 | sys_up_time=174:2:21:07.34 | ip_address=172.23.5.126 | mac_address=00:07:7C:91:7E:FE | location=Armadio119 | trap_oid=ONTIMENET-LYNX-MIB::statWarning | nbr_trap_parameters=0 | trap_parameters=  "
17-04-30;17:25:19;alarm;"Link down at device 172.23.5.126 located in Armadio119";Snmp;310;Pulse;B;"Network problem or node shutdown";"No network connection to a node";"Identify the node";"identity=20402405 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493573119 | microsecond=937733 | nbr_parameters=10 | os_date=2017:04:30 | os_time=23:19:42 | sys_up_time=174:2:21:07.29 | ip_address=172.23.5.126 | mac_address=00:07:7C:91:7E:FE | location=Armadio119 | trap_oid=ONTIMENET-LYNX-MIB::linkDownChangeWarning | nbr_trap_parameters=1 | trap_parameters= linkDownChangeWarning = 8 "
17-04-30;17:25:19;alarm;"Link down at device 172.23.6.251 located in Armadio303";Snmp;310;Pulse;B;"Network problem or node shutdown";"No network connection to a node";"Identify the node";"identity=20402404 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493573119 | microsecond=897828 | nbr_parameters=10 | os_date=2017:04:30 | os_time=23:19:42 | sys_up_time=136:18:39:18.03 | ip_address=172.23.6.251 | mac_address=00:07:7C:8F:B1:6C | location=Armadio303 | trap_oid=ONTIMENET-LYNX-MIB::linkDownChangeWarning | nbr_trap_parameters=1 | trap_parameters= linkDownChangeWarning = 7 "
17-04-30;17:25:19;alarm;"No info available (since no template found)";Snmp;0;Pulse;A;"The alarm code is unknown to the interlocking system";"The alarm information cant be translated to a understandable text message";"Contact the supplier of the interlocking system";"identity=20402403 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493573119 | microsecond=665579 | nbr_parameters=9 | os_date=2017:04:30 | os_time=23:19:42 | sys_up_time=136:18:50:54.11 | ip_address=172.23.7.122 | mac_address=00:07:7C:91:7E:A0 | location= | trap_oid=ONTIMENET-LYNX-MIB::statWarning | nbr_trap_parameters=0 | trap_parameters=  "
17-04-30;17:25:19;alarm;"Link up at device 172.23.7.122";Snmp;311;Pulse;D;"Node connected to device 172.23.7.122  ";"New device present in network";"No action required";"identity=20402402 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493573119 | microsecond=629913 | nbr_parameters=10 | os_date=2017:04:30 | os_time=23:19:42 | sys_up_time=136:18:50:54.08 | ip_address=172.23.7.122 | mac_address=00:07:7C:91:7E:A0 | location= | trap_oid=ONTIMENET-LYNX-MIB::linkUpChangeWarning | nbr_trap_parameters=1 | trap_parameters= linkUpChangeWarning = 7 "
17-04-30;15:25:24;alarm;"No info available (since no template found)";Snmp;0;Pulse;A;"The alarm code is unknown to the interlocking system";"The alarm information cant be translated to a understandable text message";"Contact the supplier of the interlocking system";"identity=20402401 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493565924 | microsecond=60026 | nbr_parameters=9 | os_date=2017:04:30 | os_time=21:19:44 | sys_up_time=136:16:51:00.86 | ip_address=172.23.7.122 | mac_address=00:07:7C:91:7E:A0 | location= | trap_oid=ONTIMENET-LYNX-MIB::statNoWarning | nbr_trap_parameters=0 | trap_parameters=  "
17-04-30;15:25:20;alarm;"No info available (since no template found)";Snmp;0;Pulse;A;"The alarm code is unknown to the interlocking system";"The alarm information cant be translated to a understandable text message";"Contact the supplier of the interlocking system";"identity=20402400 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493565920 | microsecond=409393 | nbr_parameters=9 | os_date=2017:04:30 | os_time=21:19:40 | sys_up_time=174:0:21:10.12 | ip_address=172.23.5.126 | mac_address=00:07:7C:91:7E:FE | location=Armadio119 | trap_oid=ONTIMENET-LYNX-MIB::statNoWarning | nbr_trap_parameters=0 | trap_parameters=  "
17-04-30;15:25:20;alarm;"Link up at device 172.23.5.126";Snmp;311;Pulse;D;"Node connected to device 172.23.5.126 located in Armadio119";"New device present in network";"No action required";"identity=20402399 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493565920 | microsecond=402200 | nbr_parameters=10 | os_date=2017:04:30 | os_time=21:19:40 | sys_up_time=174:0:21:10.11 | ip_address=172.23.5.126 | mac_address=00:07:7C:91:7E:FE | location=Armadio119 | trap_oid=ONTIMENET-LYNX-MIB::linkUpChangeWarning | nbr_trap_parameters=1 | trap_parameters= linkUpChangeWarning = 8 "
17-04-30;15:25:19;alarm;"No info available (since no template found)";Snmp;0;Pulse;A;"The alarm code is unknown to the interlocking system";"The alarm information cant be translated to a understandable text message";"Contact the supplier of the interlocking system";"identity=20402398 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493565919 | microsecond=439552 | nbr_parameters=9 | os_date=2017:04:30 | os_time=21:19:39 | sys_up_time=136:16:50:56.24 | ip_address=172.23.7.122 | mac_address=00:07:7C:91:7E:A0 | location= | trap_oid=ONTIMENET-LYNX-MIB::statWarning | nbr_trap_parameters=0 | trap_parameters=  "
17-04-30;15:25:19;alarm;"Link up at device 172.23.7.122";Snmp;311;Pulse;D;"Node connected to device 172.23.7.122  ";"New device present in network";"No action required";"identity=20402397 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493565919 | microsecond=412080 | nbr_parameters=10 | os_date=2017:04:30 | os_time=21:19:39 | sys_up_time=136:16:50:56.21 | ip_address=172.23.7.122 | mac_address=00:07:7C:91:7E:A0 | location= | trap_oid=ONTIMENET-LYNX-MIB::linkUpChangeWarning | nbr_trap_parameters=1 | trap_parameters= linkUpChangeWarning = 7 "
17-04-30;15:25:19;alarm;"Link down at device 172.23.7.122  ";Snmp;310;Pulse;B;"Network problem or node shutdown";"No network connection to a node";"Identify the node";"identity=20402396 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493565919 | microsecond=405596 | nbr_parameters=10 | os_date=2017:04:30 | os_time=21:19:39 | sys_up_time=136:16:50:56.20 | ip_address=172.23.7.122 | mac_address=00:07:7C:91:7E:A0 | location= | trap_oid=ONTIMENET-LYNX-MIB::linkDownChangeWarning | nbr_trap_parameters=1 | trap_parameters= linkDownChangeWarning = 7 "
17-04-30;15:25:19;alarm;"Link up at device 172.23.6.251";Snmp;311;Pulse;D;"Node connected to device 172.23.6.251 located in Armadio303";"New device present in network";"No action required";"identity=20402395 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493565919 | microsecond=267330 | nbr_parameters=10 | os_date=2017:04:30 | os_time=21:19:39 | sys_up_time=136:16:39:19.70 | ip_address=172.23.6.251 | mac_address=00:07:7C:8F:B1:6C | location=Armadio303 | trap_oid=ONTIMENET-LYNX-MIB::linkUpChangeWarning | nbr_trap_parameters=1 | trap_parameters= linkUpChangeWarning = 7 "
17-04-30;15:25:19;alarm;"Link down at device 172.23.6.251 located in Armadio303";Snmp;310;Pulse;B;"Network problem or node shutdown";"No network connection to a node";"Identify the node";"identity=20402394 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493565919 | microsecond=253311 | nbr_parameters=10 | os_date=2017:04:30 | os_time=21:19:39 | sys_up_time=136:16:39:19.69 | ip_address=172.23.6.251 | mac_address=00:07:7C:8F:B1:6C | location=Armadio303 | trap_oid=ONTIMENET-LYNX-MIB::linkDownChangeWarning | nbr_trap_parameters=1 | trap_parameters= linkDownChangeWarning = 7 "
17-04-30;15:25:17;alarm;"No info available (since no template found)";Snmp;0;Pulse;A;"The alarm code is unknown to the interlocking system";"The alarm information cant be translated to a understandable text message";"Contact the supplier of the interlocking system";"identity=20402393 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493565917 | microsecond=742117 | nbr_parameters=9 | os_date=2017:04:30 | os_time=21:19:37 | sys_up_time=174:0:21:07.45 | ip_address=172.23.5.126 | mac_address=00:07:7C:91:7E:FE | location=Armadio119 | trap_oid=ONTIMENET-LYNX-MIB::statWarning | nbr_trap_parameters=0 | trap_parameters=  "
17-04-30;15:25:17;alarm;"Link down at device 172.23.5.126 located in Armadio119";Snmp;310;Pulse;B;"Network problem or node shutdown";"No network connection to a node";"Identify the node";"identity=20402392 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493565917 | microsecond=734560 | nbr_parameters=10 | os_date=2017:04:30 | os_time=21:19:37 | sys_up_time=174:0:21:07.44 | ip_address=172.23.5.126 | mac_address=00:07:7C:91:7E:FE | location=Armadio119 | trap_oid=ONTIMENET-LYNX-MIB::linkDownChangeWarning | nbr_trap_parameters=1 | trap_parameters= linkDownChangeWarning = 8 "
17-04-30;10:25:13;alarm;"No info available (since no template found)";Snmp;0;Pulse;A;"The alarm code is unknown to the interlocking system";"The alarm information cant be translated to a understandable text message";"Contact the supplier of the interlocking system";"identity=20402391 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493547913 | microsecond=656927 | nbr_parameters=9 | os_date=2017:04:30 | os_time=16:19:27 | sys_up_time=136:11:50:57.83 | ip_address=172.23.7.122 | mac_address=00:07:7C:91:7E:A0 | location= | trap_oid=ONTIMENET-LYNX-MIB::statNoWarning | nbr_trap_parameters=0 | trap_parameters=  "
17-04-30;10:25:13;alarm;"Link down at device 172.23.7.122  ";Snmp;310;Pulse;B;"Network problem or node shutdown";"No network connection to a node";"Identify the node";"identity=20402390 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493547913 | microsecond=620815 | nbr_parameters=10 | os_date=2017:04:30 | os_time=16:19:27 | sys_up_time=136:11:50:57.80 | ip_address=172.23.7.122 | mac_address=00:07:7C:91:7E:A0 | location= | trap_oid=ONTIMENET-LYNX-MIB::linkDownChangeWarning | nbr_trap_parameters=1 | trap_parameters= linkDownChangeWarning = 7 "
17-04-30;10:25:13;alarm;"No info available (since no template found)";Snmp;0;Pulse;A;"The alarm code is unknown to the interlocking system";"The alarm information cant be translated to a understandable text message";"Contact the supplier of the interlocking system";"identity=20402389 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493547913 | microsecond=274185 | nbr_parameters=9 | os_date=2017:04:30 | os_time=16:19:27 | sys_up_time=173:19:21:10.34 | ip_address=172.23.5.126 | mac_address=00:07:7C:91:7E:FE | location=Armadio119 | trap_oid=ONTIMENET-LYNX-MIB::statNoWarning | nbr_trap_parameters=0 | trap_parameters=  "
