Date;Time;Type;Information;Group;Code;Status;Class;Cause;Consequence;Action;Parameters
17-04-30;10:25:13;alarm;"Link up at device 172.23.5.126";Snmp;311;Pulse;D;"Node connected to device 172.23.5.126 located in Armadio119";"New device present in network";"No action required";"identity=20402388 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493547913 | microsecond=263602 | nbr_parameters=10 | os_date=2017:04:30 | os_time=16:19:27 | sys_up_time=173:19:21:10.32 | ip_address=172.23.5.126 | mac_address=00:07:7C:91:7E:FE | location=Armadio119 | trap_oid=ONTIMENET-LYNX-MIB::linkUpChangeWarning | nbr_trap_parameters=1 | trap_parameters= linkUpChangeWarning = 8 "
17-04-30;10:25:11;alarm;"No info available (since no template found)";Snmp;0;Pulse;A;"The alarm code is unknown to the interlocking system";"The alarm information cant be translated to a understandable text message";"Contact the supplier of the interlocking system";"identity=20402387 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493547911 | microsecond=33755 | nbr_parameters=9 | os_date=2017:04:30 | os_time=16:19:25 | sys_up_time=136:11:50:55.20 | ip_address=172.23.7.122 | mac_address=00:07:7C:91:7E:A0 | location= | trap_oid=ONTIMENET-LYNX-MIB::statWarning | nbr_trap_parameters=0 | trap_parameters=  "
17-04-30;10:25:11;alarm;"Link up at device 172.23.7.122";Snmp;311;Pulse;D;"Node connected to device 172.23.7.122  ";"New device present in network";"No action required";"identity=20402386 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493547911 | microsecond=26561 | nbr_parameters=10 | os_date=2017:04:30 | os_time=16:19:25 | sys_up_time=136:11:50:55.19 | ip_address=172.23.7.122 | mac_address=00:07:7C:91:7E:A0 | location= | trap_oid=ONTIMENET-LYNX-MIB::linkUpChangeWarning | nbr_trap_parameters=1 | trap_parameters= linkUpChangeWarning = 7 "
17-04-30;10:25:10;alarm;"No info available (since no template found)";Snmp;0;Pulse;A;"The alarm code is unknown to the interlocking system";"The alarm information cant be translated to a understandable text message";"Contact the supplier of the interlocking system";"identity=20402385 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493547910 | microsecond=484820 | nbr_parameters=9 | os_date=2017:04:30 | os_time=16:19:24 | sys_up_time=173:19:21:07.55 | ip_address=172.23.5.126 | mac_address=00:07:7C:91:7E:FE | location=Armadio119 | trap_oid=ONTIMENET-LYNX-MIB::statWarning | nbr_trap_parameters=0 | trap_parameters=  "
17-04-30;10:25:10;alarm;"Link down at device 172.23.5.126 located in Armadio119";Snmp;310;Pulse;B;"Network problem or node shutdown";"No network connection to a node";"Identify the node";"identity=20402384 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493547910 | microsecond=479542 | nbr_parameters=10 | os_date=2017:04:30 | os_time=16:19:24 | sys_up_time=173:19:21:07.54 | ip_address=172.23.5.126 | mac_address=00:07:7C:91:7E:FE | location=Armadio119 | trap_oid=ONTIMENET-LYNX-MIB::linkDownChangeWarning | nbr_trap_parameters=1 | trap_parameters= linkDownChangeWarning = 8 "
17-04-30;01:25:01;alarm;"No info available (since no template found)";Snmp;0;Pulse;A;"The alarm code is unknown to the interlocking system";"The alarm information cant be translated to a understandable text message";"Contact the supplier of the interlocking system";"identity=20402383 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493515501 | microsecond=341636 | nbr_parameters=9 | os_date=2017:04:30 | os_time=07:19:03 | sys_up_time=136:2:50:57.59 | ip_address=172.23.7.122 | mac_address=00:07:7C:91:7E:A0 | location= | trap_oid=ONTIMENET-LYNX-MIB::statNoWarning | nbr_trap_parameters=0 | trap_parameters=  "
17-04-30;01:25:01;alarm;"Link down at device 172.23.7.122  ";Snmp;310;Pulse;B;"Network problem or node shutdown";"No network connection to a node";"Identify the node";"identity=20402382 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493515501 | microsecond=311791 | nbr_parameters=10 | os_date=2017:04:30 | os_time=07:19:03 | sys_up_time=136:2:50:57.56 | ip_address=172.23.7.122 | mac_address=00:07:7C:91:7E:A0 | location= | trap_oid=ONTIMENET-LYNX-MIB::linkDownChangeWarning | nbr_trap_parameters=1 | trap_parameters= linkDownChangeWarning = 7 "
17-04-30;01:25:00;alarm;"Link up at device 172.23.6.251";Snmp;311;Pulse;D;"Node connected to device 172.23.6.251 located in Armadio303";"New device present in network";"No action required";"identity=20402381 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493515500 | microsecond=900021 | nbr_parameters=10 | os_date=2017:04:30 | os_time=07:19:02 | sys_up_time=136:2:39:20.40 | ip_address=172.23.6.251 | mac_address=00:07:7C:8F:B1:6C | location=Armadio303 | trap_oid=ONTIMENET-LYNX-MIB::linkUpChangeWarning | nbr_trap_parameters=1 | trap_parameters= linkUpChangeWarning = 7 "
17-04-30;01:25:00;alarm;"No info available (since no template found)";Snmp;0;Pulse;A;"The alarm code is unknown to the interlocking system";"The alarm information cant be translated to a understandable text message";"Contact the supplier of the interlocking system";"identity=20402380 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493515500 | microsecond=19615 | nbr_parameters=9 | os_date=2017:04:30 | os_time=07:19:02 | sys_up_time=173:10:21:09.13 | ip_address=172.23.5.126 | mac_address=00:07:7C:91:7E:FE | location=Armadio119 | trap_oid=ONTIMENET-LYNX-MIB::statNoWarning | nbr_trap_parameters=0 | trap_parameters=  "
17-04-30;01:24:59;alarm;"Link up at device 172.23.5.126";Snmp;311;Pulse;D;"Node connected to device 172.23.5.126 located in Armadio119";"New device present in network";"No action required";"identity=20402379 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493515499 | microsecond=983373 | nbr_parameters=10 | os_date=2017:04:30 | os_time=07:19:01 | sys_up_time=173:10:21:09.10 | ip_address=172.23.5.126 | mac_address=00:07:7C:91:7E:FE | location=Armadio119 | trap_oid=ONTIMENET-LYNX-MIB::linkUpChangeWarning | nbr_trap_parameters=1 | trap_parameters= linkUpChangeWarning = 8 "
17-04-30;01:24:59;alarm;"Link down at device 172.23.5.126 located in Armadio119";Snmp;310;Pulse;B;"Network problem or node shutdown";"No network connection to a node";"Identify the node";"identity=20402378 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493515499 | microsecond=977028 | nbr_parameters=10 | os_date=2017:04:30 | os_time=07:19:01 | sys_up_time=173:10:21:09.09 | ip_address=172.23.5.126 | mac_address=00:07:7C:91:7E:FE | location=Armadio119 | trap_oid=ONTIMENET-LYNX-MIB::linkDownChangeWarning | nbr_trap_parameters=1 | trap_parameters= linkDownChangeWarning = 8 "
17-04-30;01:24:58;alarm;"No info available (since no template found)";Snmp;0;Pulse;A;"The alarm code is unknown to the interlocking system";"The alarm information cant be translated to a understandable text message";"Contact the supplier of the interlocking system";"identity=20402377 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493515498 | microsecond=742470 | nbr_parameters=9 | os_date=2017:04:30 | os_time=07:19:00 | sys_up_time=136:2:50:55.00 | ip_address=172.23.7.122 | mac_address=00:07:7C:91:7E:A0 | location= | trap_oid=ONTIMENET-LYNX-MIB::statWarning | nbr_trap_parameters=0 | trap_parameters=  "
17-04-30;01:24:58;alarm;"Link up at device 172.23.7.122";Snmp;311;Pulse;D;"Node connected to device 172.23.7.122  ";"New device present in network";"No action required";"identity=20402376 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493515498 | microsecond=715254 | nbr_parameters=10 | os_date=2017:04:30 | os_time=07:19:00 | sys_up_time=136:2:50:54.97 | ip_address=172.23.7.122 | mac_address=00:07:7C:91:7E:A0 | location= | trap_oid=ONTIMENET-LYNX-MIB::linkUpChangeWarning | nbr_trap_parameters=1 | trap_parameters= linkUpChangeWarning = 7 "
17-04-30;01:24:58;alarm;"Link down at device 172.23.6.251 located in Armadio303";Snmp;310;Pulse;B;"Network problem or node shutdown";"No network connection to a node";"Identify the node";"identity=20402375 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493515498 | microsecond=366660 | nbr_parameters=10 | os_date=2017:04:30 | os_time=07:19:00 | sys_up_time=136:2:39:17.88 | ip_address=172.23.6.251 | mac_address=00:07:7C:8F:B1:6C | location=Armadio303 | trap_oid=ONTIMENET-LYNX-MIB::linkDownChangeWarning | nbr_trap_parameters=1 | trap_parameters= linkDownChangeWarning = 7 "
17-04-29;23:24:58;alarm;"No info available (since no template found)";Snmp;0;Pulse;A;"The alarm code is unknown to the interlocking system";"The alarm information cant be translated to a understandable text message";"Contact the supplier of the interlocking system";"identity=20402374 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493508298 | microsecond=939502 | nbr_parameters=9 | os_date=2017:04:30 | os_time=05:18:58 | sys_up_time=136:0:50:58.54 | ip_address=172.23.7.122 | mac_address=00:07:7C:91:7E:A0 | location= | trap_oid=ONTIMENET-LYNX-MIB::statNoWarning | nbr_trap_parameters=0 | trap_parameters=  "
17-04-29;23:24:57;alarm;"Link up at device 172.23.6.251";Snmp;311;Pulse;D;"Node connected to device 172.23.6.251 located in Armadio303";"New device present in network";"No action required";"identity=20402373 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493508297 | microsecond=874619 | nbr_parameters=10 | os_date=2017:04:30 | os_time=05:18:57 | sys_up_time=136:0:39:20.68 | ip_address=172.23.6.251 | mac_address=00:07:7C:8F:B1:6C | location=Armadio303 | trap_oid=ONTIMENET-LYNX-MIB::linkUpChangeWarning | nbr_trap_parameters=1 | trap_parameters= linkUpChangeWarning = 7 "
17-04-29;23:24:57;alarm;"No info available (since no template found)";Snmp;0;Pulse;A;"The alarm code is unknown to the interlocking system";"The alarm information cant be translated to a understandable text message";"Contact the supplier of the interlocking system";"identity=20402372 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493508297 | microsecond=859564 | nbr_parameters=9 | os_date=2017:04:30 | os_time=05:18:57 | sys_up_time=173:8:21:10.32 | ip_address=172.23.5.126 | mac_address=00:07:7C:91:7E:FE | location=Armadio119 | trap_oid=ONTIMENET-LYNX-MIB::statNoWarning | nbr_trap_parameters=0 | trap_parameters=  "
17-04-29;23:24:57;alarm;"Link up at device 172.23.5.126";Snmp;311;Pulse;D;"Node connected to device 172.23.5.126 located in Armadio119";"New device present in network";"No action required";"identity=20402371 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493508297 | microsecond=852193 | nbr_parameters=10 | os_date=2017:04:30 | os_time=05:18:57 | sys_up_time=173:8:21:10.31 | ip_address=172.23.5.126 | mac_address=00:07:7C:91:7E:FE | location=Armadio119 | trap_oid=ONTIMENET-LYNX-MIB::linkUpChangeWarning | nbr_trap_parameters=1 | trap_parameters= linkUpChangeWarning = 8 "
17-04-29;23:24:56;alarm;"No info available (since no template found)";Snmp;0;Pulse;A;"The alarm code is unknown to the interlocking system";"The alarm information cant be translated to a understandable text message";"Contact the supplier of the interlocking system";"identity=20402370 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493508296 | microsecond=374467 | nbr_parameters=9 | os_date=2017:04:30 | os_time=05:18:56 | sys_up_time=136:0:50:55.98 | ip_address=172.23.7.122 | mac_address=00:07:7C:91:7E:A0 | location= | trap_oid=ONTIMENET-LYNX-MIB::statWarning | nbr_trap_parameters=0 | trap_parameters=  "
17-04-29;23:24:56;alarm;"Link up at device 172.23.7.122";Snmp;311;Pulse;D;"Node connected to device 172.23.7.122  ";"New device present in network";"No action required";"identity=20402369 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493508296 | microsecond=356994 | nbr_parameters=10 | os_date=2017:04:30 | os_time=05:18:56 | sys_up_time=136:0:50:55.96 | ip_address=172.23.7.122 | mac_address=00:07:7C:91:7E:A0 | location= | trap_oid=ONTIMENET-LYNX-MIB::linkUpChangeWarning | nbr_trap_parameters=1 | trap_parameters= linkUpChangeWarning = 7 "
17-04-29;23:24:56;alarm;"Link down at device 172.23.7.122  ";Snmp;310;Pulse;B;"Network problem or node shutdown";"No network connection to a node";"Identify the node";"identity=20402368 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493508296 | microsecond=350607 | nbr_parameters=10 | os_date=2017:04:30 | os_time=05:18:56 | sys_up_time=136:0:50:55.95 | ip_address=172.23.7.122 | mac_address=00:07:7C:91:7E:A0 | location= | trap_oid=ONTIMENET-LYNX-MIB::linkDownChangeWarning | nbr_trap_parameters=1 | trap_parameters= linkDownChangeWarning = 7 "
17-04-29;23:24:55;alarm;"Link down at device 172.23.6.251 located in Armadio303";Snmp;310;Pulse;B;"Network problem or node shutdown";"No network connection to a node";"Identify the node";"identity=20402367 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493508295 | microsecond=338989 | nbr_parameters=10 | os_date=2017:04:30 | os_time=05:18:55 | sys_up_time=136:0:39:18.14 | ip_address=172.23.6.251 | mac_address=00:07:7C:8F:B1:6C | location=Armadio303 | trap_oid=ONTIMENET-LYNX-MIB::linkDownChangeWarning | nbr_trap_parameters=1 | trap_parameters= linkDownChangeWarning = 7 "
17-04-29;23:24:55;alarm;"No info available (since no template found)";Snmp;0;Pulse;A;"The alarm code is unknown to the interlocking system";"The alarm information cant be translated to a understandable text message";"Contact the supplier of the interlocking system";"identity=20402366 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493508295 | microsecond=195408 | nbr_parameters=9 | os_date=2017:04:30 | os_time=05:18:55 | sys_up_time=173:8:21:07.66 | ip_address=172.23.5.126 | mac_address=00:07:7C:91:7E:FE | location=Armadio119 | trap_oid=ONTIMENET-LYNX-MIB::statWarning | nbr_trap_parameters=0 | trap_parameters=  "
17-04-29;23:24:55;alarm;"Link down at device 172.23.5.126 located in Armadio119";Snmp;310;Pulse;B;"Network problem or node shutdown";"No network connection to a node";"Identify the node";"identity=20402365 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493508295 | microsecond=189650 | nbr_parameters=10 | os_date=2017:04:30 | os_time=05:18:55 | sys_up_time=173:8:21:07.65 | ip_address=172.23.5.126 | mac_address=00:07:7C:91:7E:FE | location=Armadio119 | trap_oid=ONTIMENET-LYNX-MIB::linkDownChangeWarning | nbr_trap_parameters=1 | trap_parameters= linkDownChangeWarning = 8 "
17-04-29;19:24:52;alarm;"No info available (since no template found)";Snmp;0;Pulse;A;"The alarm code is unknown to the interlocking system";"The alarm information cant be translated to a understandable text message";"Contact the supplier of the interlocking system";"identity=20402364 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493493892 | microsecond=567413 | nbr_parameters=9 | os_date=2017:04:30 | os_time=01:18:47 | sys_up_time=135:20:50:57.87 | ip_address=172.23.7.122 | mac_address=00:07:7C:91:7E:A0 | location= | trap_oid=ONTIMENET-LYNX-MIB::statNoWarning | nbr_trap_parameters=0 | trap_parameters=  "
17-04-29;19:24:52;alarm;"Link down at device 172.23.7.122  ";Snmp;310;Pulse;B;"Network problem or node shutdown";"No network connection to a node";"Identify the node";"identity=20402363 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493493892 | microsecond=544462 | nbr_parameters=10 | os_date=2017:04:30 | os_time=01:18:47 | sys_up_time=135:20:50:57.84 | ip_address=172.23.7.122 | mac_address=00:07:7C:91:7E:A0 | location= | trap_oid=ONTIMENET-LYNX-MIB::linkDownChangeWarning | nbr_trap_parameters=1 | trap_parameters= linkDownChangeWarning = 7 "
17-04-29;19:24:51;alarm;"No info available (since no template found)";Snmp;0;Pulse;A;"The alarm code is unknown to the interlocking system";"The alarm information cant be translated to a understandable text message";"Contact the supplier of the interlocking system";"identity=20402362 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493493891 | microsecond=903507 | nbr_parameters=9 | os_date=2017:04:30 | os_time=01:18:46 | sys_up_time=173:4:21:10.05 | ip_address=172.23.5.126 | mac_address=00:07:7C:91:7E:FE | location=Armadio119 | trap_oid=ONTIMENET-LYNX-MIB::statNoWarning | nbr_trap_parameters=0 | trap_parameters=  "
17-04-29;19:24:51;alarm;"Link up at device 172.23.5.126";Snmp;311;Pulse;D;"Node connected to device 172.23.5.126 located in Armadio119";"New device present in network";"No action required";"identity=20402361 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493493891 | microsecond=896362 | nbr_parameters=10 | os_date=2017:04:30 | os_time=01:18:46 | sys_up_time=173:4:21:10.04 | ip_address=172.23.5.126 | mac_address=00:07:7C:91:7E:FE | location=Armadio119 | trap_oid=ONTIMENET-LYNX-MIB::linkUpChangeWarning | nbr_trap_parameters=1 | trap_parameters= linkUpChangeWarning = 8 "
17-04-29;19:24:49;alarm;"No info available (since no template found)";Snmp;0;Pulse;A;"The alarm code is unknown to the interlocking system";"The alarm information cant be translated to a understandable text message";"Contact the supplier of the interlocking system";"identity=20402360 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493493889 | microsecond=933993 | nbr_parameters=9 | os_date=2017:04:30 | os_time=01:18:44 | sys_up_time=135:20:50:55.22 | ip_address=172.23.7.122 | mac_address=00:07:7C:91:7E:A0 | location= | trap_oid=ONTIMENET-LYNX-MIB::statWarning | nbr_trap_parameters=0 | trap_parameters=  "
17-04-29;19:24:49;alarm;"Link up at device 172.23.7.122";Snmp;311;Pulse;D;"Node connected to device 172.23.7.122  ";"New device present in network";"No action required";"identity=20402359 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493493889 | microsecond=926622 | nbr_parameters=10 | os_date=2017:04:30 | os_time=01:18:44 | sys_up_time=135:20:50:55.22 | ip_address=172.23.7.122 | mac_address=00:07:7C:91:7E:A0 | location= | trap_oid=ONTIMENET-LYNX-MIB::linkUpChangeWarning | nbr_trap_parameters=1 | trap_parameters= linkUpChangeWarning = 7 "
17-04-29;19:24:49;alarm;"No info available (since no template found)";Snmp;0;Pulse;A;"The alarm code is unknown to the interlocking system";"The alarm information cant be translated to a understandable text message";"Contact the supplier of the interlocking system";"identity=20402358 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493493889 | microsecond=2145 | nbr_parameters=9 | os_date=2017:04:30 | os_time=01:18:44 | sys_up_time=173:4:21:07.15 | ip_address=172.23.5.126 | mac_address=00:07:7C:91:7E:FE | location=Armadio119 | trap_oid=ONTIMENET-LYNX-MIB::statWarning | nbr_trap_parameters=0 | trap_parameters=  "
17-04-29;19:24:48;alarm;"Link down at device 172.23.5.126 located in Armadio119";Snmp;310;Pulse;B;"Network problem or node shutdown";"No network connection to a node";"Identify the node";"identity=20402357 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493493888 | microsecond=982591 | nbr_parameters=10 | os_date=2017:04:30 | os_time=01:18:43 | sys_up_time=173:4:21:07.13 | ip_address=172.23.5.126 | mac_address=00:07:7C:91:7E:FE | location=Armadio119 | trap_oid=ONTIMENET-LYNX-MIB::linkDownChangeWarning | nbr_trap_parameters=1 | trap_parameters= linkDownChangeWarning = 8 "
17-04-29;17:24:50;alarm;"No info available (since no template found)";Snmp;0;Pulse;A;"The alarm code is unknown to the interlocking system";"The alarm information cant be translated to a understandable text message";"Contact the supplier of the interlocking system";"identity=20402356 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493486690 | microsecond=16710 | nbr_parameters=9 | os_date=2017:04:29 | os_time=23:18:42 | sys_up_time=135:18:50:57.67 | ip_address=172.23.7.122 | mac_address=00:07:7C:91:7E:A0 | location= | trap_oid=ONTIMENET-LYNX-MIB::statNoWarning | nbr_trap_parameters=0 | trap_parameters=  "
17-04-29;17:24:49;alarm;"Link down at device 172.23.7.122  ";Snmp;310;Pulse;B;"Network problem or node shutdown";"No network connection to a node";"Identify the node";"identity=20402355 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493486689 | microsecond=990739 | nbr_parameters=10 | os_date=2017:04:29 | os_time=23:18:41 | sys_up_time=135:18:50:57.64 | ip_address=172.23.7.122 | mac_address=00:07:7C:91:7E:A0 | location= | trap_oid=ONTIMENET-LYNX-MIB::linkDownChangeWarning | nbr_trap_parameters=1 | trap_parameters= linkDownChangeWarning = 7 "
17-04-29;17:24:49;alarm;"No info available (since no template found)";Snmp;0;Pulse;A;"The alarm code is unknown to the interlocking system";"The alarm information cant be translated to a understandable text message";"Contact the supplier of the interlocking system";"identity=20402354 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493486689 | microsecond=528482 | nbr_parameters=9 | os_date=2017:04:29 | os_time=23:18:41 | sys_up_time=173:2:21:10.01 | ip_address=172.23.5.126 | mac_address=00:07:7C:91:7E:FE | location=Armadio119 | trap_oid=ONTIMENET-LYNX-MIB::statNoWarning | nbr_trap_parameters=0 | trap_parameters=  "
17-04-29;17:24:49;alarm;"Link up at device 172.23.5.126";Snmp;311;Pulse;D;"Node connected to device 172.23.5.126 located in Armadio119";"New device present in network";"No action required";"identity=20402353 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493486689 | microsecond=521437 | nbr_parameters=10 | os_date=2017:04:29 | os_time=23:18:41 | sys_up_time=173:2:21:10.01 | ip_address=172.23.5.126 | mac_address=00:07:7C:91:7E:FE | location=Armadio119 | trap_oid=ONTIMENET-LYNX-MIB::linkUpChangeWarning | nbr_trap_parameters=1 | trap_parameters= linkUpChangeWarning = 8 "
17-04-29;17:24:47;alarm;"No info available (since no template found)";Snmp;0;Pulse;A;"The alarm code is unknown to the interlocking system";"The alarm information cant be translated to a understandable text message";"Contact the supplier of the interlocking system";"identity=20402352 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493486687 | microsecond=404021 | nbr_parameters=9 | os_date=2017:04:29 | os_time=23:18:39 | sys_up_time=135:18:50:55.04 | ip_address=172.23.7.122 | mac_address=00:07:7C:91:7E:A0 | location= | trap_oid=ONTIMENET-LYNX-MIB::statWarning | nbr_trap_parameters=0 | trap_parameters=  "
17-04-29;17:24:47;alarm;"Link up at device 172.23.7.122";Snmp;311;Pulse;D;"Node connected to device 172.23.7.122  ";"New device present in network";"No action required";"identity=20402351 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493486687 | microsecond=396577 | nbr_parameters=10 | os_date=2017:04:29 | os_time=23:18:39 | sys_up_time=135:18:50:55.04 | ip_address=172.23.7.122 | mac_address=00:07:7C:91:7E:A0 | location= | trap_oid=ONTIMENET-LYNX-MIB::linkUpChangeWarning | nbr_trap_parameters=1 | trap_parameters= linkUpChangeWarning = 7 "
17-04-29;17:24:46;alarm;"No info available (since no template found)";Snmp;0;Pulse;A;"The alarm code is unknown to the interlocking system";"The alarm information cant be translated to a understandable text message";"Contact the supplier of the interlocking system";"identity=20402350 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493486686 | microsecond=845091 | nbr_parameters=9 | os_date=2017:04:29 | os_time=23:18:38 | sys_up_time=173:2:21:07.33 | ip_address=172.23.5.126 | mac_address=00:07:7C:91:7E:FE | location=Armadio119 | trap_oid=ONTIMENET-LYNX-MIB::statWarning | nbr_trap_parameters=0 | trap_parameters=  "
17-04-29;17:24:46;alarm;"Link down at device 172.23.5.126 located in Armadio119";Snmp;310;Pulse;B;"Network problem or node shutdown";"No network connection to a node";"Identify the node";"identity=20402349 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493486686 | microsecond=839344 | nbr_parameters=10 | os_date=2017:04:29 | os_time=23:18:38 | sys_up_time=173:2:21:07.33 | ip_address=172.23.5.126 | mac_address=00:07:7C:91:7E:FE | location=Armadio119 | trap_oid=ONTIMENET-LYNX-MIB::linkDownChangeWarning | nbr_trap_parameters=1 | trap_parameters= linkDownChangeWarning = 8 "
17-04-29;15:24:48;alarm;"No info available (since no template found)";Snmp;0;Pulse;A;"The alarm code is unknown to the interlocking system";"The alarm information cant be translated to a understandable text message";"Contact the supplier of the interlocking system";"identity=20402348 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493479488 | microsecond=924466 | nbr_parameters=9 | os_date=2017:04:29 | os_time=21:18:38 | sys_up_time=135:16:50:59.92 | ip_address=172.23.7.122 | mac_address=00:07:7C:91:7E:A0 | location= | trap_oid=ONTIMENET-LYNX-MIB::statNoWarning | nbr_trap_parameters=0 | trap_parameters=  "